accuracy,loss,val_accuracy,val_loss
0.7612500190734863,0.6412614583969116,0.699999988079071,0.5246973633766174
0.9056249856948853,0.21852393448352814,0.9275000095367432,0.37389877438545227
0.9599999785423279,0.1092439591884613,0.9325000047683716,0.23441115021705627
0.9756249785423279,0.06875192373991013,0.925000011920929,0.19442212581634521
0.9806249737739563,0.06870891898870468,0.9599999785423279,0.20004263520240784
0.9893749952316284,0.0323517769575119,0.9950000047683716,0.07353051751852036
0.9912499785423279,0.021180715411901474,0.9950000047683716,0.040669556707143784
0.9943749904632568,0.014789760112762451,0.9850000143051147,0.040331292897462845
0.9950000047683716,0.013077274896204472,0.9950000047683716,0.02617517299950123
0.9950000047683716,0.0127022136002779,1.0,0.02670607529580593
0.9893749952316284,0.018655169755220413,0.9775000214576721,0.08783487230539322
0.9925000071525574,0.019128765910863876,1.0,0.007502703461796045
0.996874988079071,0.011280765756964684,1.0,0.004182612523436546
0.996874988079071,0.009253574535250664,1.0,0.0008710570400580764
0.9956250190734863,0.006199825555086136,1.0,0.0006958288722671568
0.9981250166893005,0.005184686277061701,1.0,0.00034284350113011897
0.9962499737739563,0.006105401087552309,1.0,0.0006926920032128692
0.996874988079071,0.005585131235420704,1.0,0.00046390536590479314
0.987500011920929,0.044014811515808105,0.9700000286102295,0.0851430594921112
0.9912499785423279,0.03452505171298981,1.0,0.003975210711359978
0.9931250214576721,0.01927322708070278,1.0,0.0033956326078623533
